Pre6807	Pre7D1C	Pre406C	Pre2D17	Pre5D52	Pre737F	Pre167D	Pre671C	Pre6E50	Pre340E	Pre0B2B	Pre591C	Pre7C29	Pre7262	Pre0B59	Pre0646	Pre471D	Pre4D34	Pre0023	Pre0302
SPN21	209	9	0	30	0	110	8	1	0	0	0	0	0	0	0	0	0	0	0	0
SPN62	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPN94	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPN104	0	6	6	6	5	0	0	0	0	0	0	4	0	0	0	0	1	0	6	0
SPN156	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP116	0	0	1	0	0	5	0	1	0	0	0	1	0	0	0	0	0	0	0	0
SP117	0	0	6	17	1	0	5	3	0	0	1	0	6	0	0	0	1	0	0	0
SP118	0	0	1	3	0	1	0	6	0	6	0	0	0	0	0	0	0	0	0	3
SP165	63	4	3	11	0	17	0	3	0	4	0	0	1	0	0	0	7	0	15	0
SP166	19	32	181	351	39	46	23	79	4	105	37	2	48	10	9	10	25	7	11	29
SP176	8668	599	9179	15745	2398	6995	1609	12489	76	2353	16387	5688	3741	10094	4363	7253	8245	15178	6501	15903
SPP15	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0
SPP16	0	0	1	5	0	0	7	1	0	3	0	0	2	0	0	0	0	0	0	0
SP19	0	0	3	0	0	3	0	0	0	21	0	0	0	0	0	0	10	0	0	7
SP192	31	0	0	0	0	29	0	0	0	0	8	0	0	0	0	0	0	0	0	0
SP201	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
SP206	0	0	0	0	0	0	0	0	0	8	0	0	0	0	8	0	0	0	0	0
SP239	6409	787	2130	228	1759	3101	3153	203	105	1561	566	127	612	49	86	20	829	452	342	134
SP252	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP268	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0
SP28	1344	1	0	2	0	211	0	0	0	0	12	0	0	2	0	0	0	0	12	0
SP280	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
SPP28	201	15288	151	583	12562	4194	10922	1601	16217	10440	51	11934	12113	6776	8879	10097	80	865	1013	258
SPP30	0	0	4	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	3
SP50	0	1	9	8	0	0	0	2	0	16	5	0	0	0	2	2	0	0	0	0
SP51	951	1267	5204	962	1215	3261	2267	3591	1510	3333	879	211	1461	900	4387	578	8487	1383	10100	1638
SPP36	7	3	612	19	5	24	0	0	63	52	26	26	14	167	148	20	201	88	0	20
SP59	0	0	433	0	0	0	0	3	25	0	14	7	0	0	116	17	100	27	0	4
SPP38	0	2	19	13	4	0	4	6	0	13	3	0	0	2	2	0	5	0	0	0
SP75	3	0	0	0	0	1	0	2	0	6	3	0	0	0	0	0	0	0	0	1
SP76	0	0	13	0	9	2	0	0	0	8	5	0	0	0	0	0	0	0	0	0
SP77	0	1	6	8	0	0	2	9	0	3	3	0	0	0	0	0	2	0	0	0
