t1167D	t12D17	t15D52	t10023	t1737F	t16807	t10B59	t1340E	t1671C	t10646	t10302	t16E50	t17262	t1406C	t1471D	t10B2B	t1591C	t17C29	t17D1C
SPN102	0	59	0	0	0	151	11	0	0	0	0	0	0	0	4	0	0	0	0
SPN104	7	1	1	0	28	7	0	0	0	0	0	0	0	0	0	2	0	0	0
SPN193	10	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
SP11	24	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPP4	174	25	31	0	10	12	0	20	9	0	4	0	0	0	1	1	0	8	15
SP117	0	0	0	0	6	0	2	0	0	0	0	7	0	0	0	0	0	0	0
SP118	6	2	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0
SP157	0	30	0	0	2	193	18	0	0	0	0	0	0	0	0	0	0	0	0
SP165	0	336	0	0	32	2194	151	0	0	0	0	0	0	0	1	0	0	0	0
SP166	93	303	14	8	63	362	93	45	5	9	2	23	6	14	29	0	2	17	6
SP176	9527	5149	11640	13854	13152	7653	10479	10178	13911	8789	14594	2639	14526	15523	10163	17413	14778	1177	12057
SP192	0	0	0	0	0	0	0	2	1721	0	0	0	0	0	0	1	0	0	0
SP239	65	0	426	14	1457	2233	230	351	424	43	40	769	54	39	246	23	165	678	135
SP241	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP26	34	6	14	0	4	0	0	1	0	0	0	0	0	0	2	0	0	0	0
SPP28	2410	11592	2681	2645	1087	235	2774	4197	271	7574	663	8627	2010	1678	51	26	2579	12616	206
SP43	22	0	7	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0
SP50	2	0	1	0	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SP51	5433	468	3124	1447	2055	3529	3871	3191	1632	1292	2639	5581	1391	706	7492	516	308	3459	5515
SPP36	53	0	20	20	18	854	201	0	27	163	26	216	0	28	6	18	168	40	57
SP59	0	0	7	10	0	570	163	0	0	130	30	138	12	12	0	0	0	0	0
SPP38	0	0	0	0	25	0	1	0	0	0	0	0	0	0	2	0	0	0	0
SP70	19	3	11	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	5
SP77	0	3	0	0	15	0	0	2	0	0	0	0	0	0	0	0	0	0	0
SP86	32	6	12	0	4	1	0	6	0	0	0	0	0	0	0	0	0	0	4
SP87	85	9	6	2	8	0	0	7	0	0	0	0	0	0	3	0	0	0	0
