t25D52	t27D1C	t2471D	t20B59	t27C29	t2591C	t20646	t20302	t2340E	t2671C	t26807	t2167D	t27262	t20B2B	t2406C	t22D17	t2737F	t24D34	t26E50	t20023
5846	2274	1499	2563	691	15606	5321	6867	9829	9695	6780	6655	8030	10737	8723	7892	14808	8172	10829	1232
1007	660	10488	9469	979	1179	5765	7816	2967	2385	2598	2258	2700	6357	3860	4278	420	2195	4839	585
2942	8825	3844	2308	4678	335	1790	667	1312	1503	5500	1141	3705	133	768	1623	1066	3316	1323	8956
6550	3959	51	2374	9367	278	3764	290	3601	698	139	4118	2277	403	701	1143	141	339	112	6418
253	98	406	742	125	212	543	623	72	716	418	1704	766	165	805	203	296	1453	405	209
437	417	44	43	827	5	14	43	0	1101	1281	753	0	33	0	1775	371	924	3	455
422	1539	698	93	476	8	26	180	67	291	884	466	30	23	201	974	343	492	176	86
219	2	158	16	14	114	224	150	5	428	107	226	157	42	2553	8	291	180	25	0
54	31	509	188	0	52	132	614	14	182	100	413	137	26	182	0	73	257	98	0
132	70	199	126	772	10	148	595	0	139	0	0	0	11	7	28	16	251	147	0
66	0	0	0	0	115	97	54	60	49	14	124	133	21	49	0	0	243	12	0
10	0	33	0	0	0	13	8	0	496	0	0	5	0	105	0	27	37	0	0
40	15	12	19	27	4	5	9	0	27	63	36	0	2	0	33	140	42	2	51
0	8	35	39	0	50	89	0	20	19	0	46	43	29	16	0	0	83	9	0
4	40	4	7	9	1	3	9	6	6	5	8	0	3	6	8	0	10	0	0
6	21	0	5	9	0	1	18	8	10	0	13	5	0	9	11	0	0	0	0
0	0	0	0	0	4	0	0	0	98	2	0	0	0	6	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
6	0	2	5	0	2	17	17	15	0	2	19	0	6	0	4	0	0	3	0
0	0	0	0	0	0	0	0	3	91	0	0	0	0	0	0	0	0	0	0
4	14	0	0	8	1	0	26	0	6	5	16	0	0	0	12	0	0	0	0
0	0	0	0	0	0	0	0	1	47	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	21	25	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	3	0	0	20	0	0	0	0	0	12	0	0	0	0	0	0	0
0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	11	0
0	5	0	0	0	0	0	0	0	0	0	4	0	9	0	0	0	0	0	8
0	0	0	0	18	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0	9	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0
0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
0	0	0	0	0	0	0	0	16	3	0	0	0	0	0	0	0	0	0	0
0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
0	0	0	0	0	0	0	7	0	0	0	0	0	0	9	0	0	0	0	0
2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	0
0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	1	0
